session_id,date,n_files,first_capture,site_hint,cover_class_reviewed,land_cover_frame,note,lon,lat,position_source
1,2011-12-21,2,landcanoe.jpg,,dry vegetation / exposed lakebed,yes,"stranded dugout on grassed lakebed, hills on horizon",,,
2,2012-02-20,10,Multiple fish fences and fish traps at Phaloni 1.JPG,Phaloni; Sombani,open water,yes,"river inflow, fish fences and traps, reeds, hill behind",,,
3,2012-02-22,17,marshman.jpg,,flooded vegetation,yes,"channel cut through dense live reed stand, standing water",,,
4,2012-02-22,6,CIMG1832-001.jpg,Zambia,open water,yes,"zimbowera raft and shelter in open water, gulls, reed line behind",,,
5,2012-02-22,13,CIMG1838-001.jpg,Zambia,flooded vegetation,yes,"reed-mat shelter on cut-reed raft, live reeds behind",,,
6,2012-02-22,7,CIMG1847.jpg,,open water,yes,"open water with fish fences and reed islands, mountains behind",,,
7,2012-02-25,1,CIMG1882.JPG,,flooded cropland (rice paddy),yes,"rice transplanting into wet mud with standing water between rows; NOT one of the four study classes; sparse emergent cover, spectrally ambiguous with bare soil; author to assign or exclude",,,
8,2012-02-28,3,CIMG1901.JPG,,settlement / market,no,"village trading street, sandy road, fish being carried; low hill on horizon centre-right",,,
9,2012-03-21,2,CIMG1954-001.jpg,,open water,yes,"open water foreground, fishing camp with beached boats along the shore; prominent forested hill behind, strong skyline candidate",,,
10,2012-03-21,2,CIMG1965.jpg,,settlement / processing,no,"fish-smoking kiln under trees on rocky ground with exposed roots; same date as session 9, probably the same site",,,
11,2012-03-27,3,CIMG1999-001.jpg,,dry vegetation,yes,sandy track through tall green grassland on the lake plain; reed mats carried by bicycle; low hills on the horizon,,,
12,2012-03-28,52,CIMG2007-001.jpg,,settlement / market,no,"trading scene, not a land-cover frame",,,
13,2012-03-28,10,CIMG2137.JPG,,settlement / built,no,"brick construction, not a land-cover frame",,,
14,2012-03-28,1,CIMG2174-001.jpg,,dry vegetation,yes,"grazed grassland with livestock kraal and thatched shed, tree line behind",,,
15,2012-03-29,3,CIMG2190-001.jpg,,flooded vegetation,yes,"emergent grass and sedge standing in shallow water at the marsh margin, cut-grass mounds; tree line and buildings behind",,,
16,2012-03-30,1,CIMG2196-001.jpg,,settlement / processing,no,fish drying racks and tarpaulins among reed-walled structures; mountains faintly visible top left,,,
17,2012-04-04,4,CIMG2234.jpg,,gear detail,no,close-up of fishing nets on sand; no landscape visible,,,
18,2012-04-19,5,CIMG2247.JPG,,open water,yes,"hazy long view from high ground across open water to a shoreline village and green plain; fish fences in the near water; elevated viewpoint, useful for placement",,,
19,2012-04-23,5,20120423_194014.jpg,,domestic interior,no,indoor kitchen; no landscape,,,
20,2012-04-29,1,20120429_091523.jpg,,fauna / specimen,no,chameleon in a plastic basin; no landscape,,,
21,2012-05-05,1,20120505_120351.jpg,,fauna / specimen,no,chameleon in a plastic basin; no landscape,,,
22,2012-05-19,23,20120519_125615.jpg,,gathering / event,no,"panoramic crowd on a rocky grassed shoreline, open water to the right; distant mountain on the horizon, skyline candidate",,,
23,2012-05-20,1,thomas1.jpg,,landing site,no,"researcher and boats at a muddy landing; selective-colour edit applied, unusable for any spectral comparison",,,
24,2012-05-20,3,marshman1.jpg,,flooded vegetation,yes,"boat poled along a channel cut through a dense live reed stand; prominent mountain behind, strong skyline candidate; pairs with session 3 (marshman.jpg)",,,
25,2012-05-21,1,sugarcane boatman.jpg,,open water,yes,"boat loaded with cut reeds on wide open water, low emergent reed islands in the middle distance; faint distant hills",,,
26,2012-05-22,1,manstandngonboat.jpg,,open water,yes,"mixed frame: open water with an adjacent reed bed standing in water and sparse emergent shoots throughout; water-vegetation boundary, place points with care; hill to the right",,,
27,2012-05-23,1,CIMG2484.JPG,,settlement / built,no,"village lane, mud-walled thatched houses, reed fences, baobab",,,
28,2012-05-24,1,pushboat1.jpg,,open water,yes,"same subject and site as session 25; heavily processed contrast and saturation, unusable for any spectral comparison",,,
29,2012-05-29,1,CIMG2603.JPG,,road / transport,no,dusty dirt road with a loaded pickup and roadside grass,,,
30,2012-05-30,1,CIMG2617.JPG,,settlement / woodfuel,no,split firewood being bundled under a eucalyptus; dry grassland behind,,,
31,2012-05-30,3,CIMG2618.JPG,,documentation / display,no,jars of seeds on cloths with typed Chichewa lists; no landscape,,,
32,2012-06-12,18,CIMG2808.JPG,,archival document,no,"photographed page, East African Geographical Review, 1966 Lake Chilwa maps of district of birth and language groups; names Marshes, Tongwe, Uzingo, Nchisi, Kachulu, Chisoni, Ngangala, Njalo; useful for toponym georeferencing",,,
33,2012-06-19,11,CIMG3173.JPG,,archival document,no,"photographed page, parastatal planning and budgeting figure; unrelated to land cover",,,
34,2012-06-19,1,CIMG3200.JPG,,archival document,no,"photographed pages 52-53, the same 1966 Lake Chilwa maps as session 32, better exposure",,,
35,2012-09-26,4,DSC_2375.JPG,,open water,yes,open water with a low sand spit carrying a thatched hut and a fishing camp; dry-season shoreline,,,
36,2012-12-06,2,IMG_0014.jpg,,archival document,no,photographed page 39 of Fishermen of Lake Chilwa on fishing gear; page inverted,,,
37,2014-11-23,1,IMG_5333.JPG,,settlement / processing,no,"fish drying racks on a rocky shore, open water and boats beyond; distinctive conical island on the horizon, strong skyline candidate",,,
38,2011-01-01,21,CIMG1312.JPG,,flooded vegetation,yes,"zimbowera on cut-reed raft inside live reed stand, open water foreground",,,
